AAG_score,TA_score
6.25,4.375
6.25,4.375
7.5,6.875
6.25,4.375
7.5,8.75
5.0,1.25
5.0,1.25
2.5,2.5
6.25,4.375
5.0,1.25
2.5,1.25
5.0,4.375
2.5,3.125
5.0,4.375
7.5,7.5
7.5,2.5
7.5,8.75
6.25,4.375
6.25,2.5
5.0,3.125
6.25,5.625
5.0,3.125
5.0,1.25
6.25,4.375
5.0,3.125
5.0,1.875
5.0,1.25
6.25,1.875
2.5,1.25
6.25,4.375
7.5,8.75
6.25,2.5
6.25,5.625
7.5,8.125
7.5,7.5
6.25,4.375
8.75,6.875
2.5,1.25
6.25,4.375
2.5,1.25
0.0,0.0
3.75,1.25
3.75,2.5
2.5,1.25
2.5,1.25
5.0,1.25
2.5,1.25
6.25,6.25
5.0,1.25
6.25,5.625
2.5,1.25
6.25,4.375
0.0,0.0
6.25,1.25
5.0,1.25
6.25,5.0
2.5,2.5
3.75,6.25
3.75,2.5
7.5,4.375
6.25,5.0
5.0,3.125
6.25,4.375
6.25,3.125
0.0,0.0
6.25,6.25
6.25,4.375
6.25,3.75
5.0,3.125
5.0,5.0
6.25,3.125
6.25,4.375
6.25,6.875
6.25,5.0
0.0,0.0
2.5,1.25
6.25,4.375
2.5,1.25
2.5,1.25
2.5,1.25
3.75,2.5
2.5,1.875
5.0,6.875
6.25,3.125
2.5,1.25
5.0,1.25
5.0,1.25
5.0,3.75
6.25,8.125
5.0,1.25
3.75,2.5
5.0,5.625
5.0,1.25
0.0,0.0
5.0,4.375
5.0,3.125
2.5,1.25
6.25,4.375
5.0,3.125
6.25,5.0
3.75,2.5
2.5,1.25
5.0,1.25
2.5,1.25
2.5,1.25
2.5,1.25
5.0,3.125
3.75,3.125
6.25,8.125
2.5,1.25
3.75,2.5
10.0,8.75
0.0,0.0
5.0,3.125
6.25,5.625
5.0,5.625
6.25,4.375
6.25,5.625
6.25,6.875
7.5,8.75
2.5,1.25
6.25,3.75
2.5,1.25
2.5,3.75
7.5,10.0
6.25,1.25
6.25,5.0
0.0,0.0
5.0,1.25
5.0,4.375
3.75,1.25
0.0,0.0
6.25,3.125
7.5,9.375
2.5,1.25
5.0,5.0
6.25,3.125
6.25,6.25
5.0,4.375
6.25,5.0
7.5,8.75
5.0,1.875
6.25,3.125
5.0,1.25
5.0,4.375
0.0,0.0
6.25,10.0
3.75,3.125
6.25,2.5
6.25,3.75
